iter	Passed	Remaining
0	114	114332
1	116	57899
2	117	39068
3	119	29650
4	121	24081
5	122	20332
6	124	17655
7	126	15640
8	127	14074
9	131	13056
10	133	12033
11	135	11180
12	137	10462
13	139	9849
14	147	9694
15	149	9196
16	151	8746
17	153	8351
18	154	7987
19	162	7969
20	164	7666
21	166	7383
22	167	7123
23	169	6884
24	172	6731
25	174	6536
26	176	6351
27	177	6175
28	179	6010
29	181	5860
30	182	5713
31	185	5602
32	187	5505
33	189	5388
34	191	5272
35	192	5159
36	194	5060
37	200	5082
38	203	5020
39	205	4933
40	206	4840
41	209	4767
42	214	4772
43	217	4725
44	220	4671
45	222	4623
46	228	4636
47	230	4570
48	234	4560
49	237	4515
50	240	4484
51	243	4433
52	245	4383
53	247	4334
54	250	4297
55	253	4265
56	256	4236
57	259	4216
58	262	4183
59	264	4146
60	267	4114
61	270	4089
62	276	4110
63	279	4088
64	285	4109
65	287	4074
66	289	4035
67	291	4000
68	294	3967
69	297	3951
70	299	3921
71	301	3888
72	303	3856
73	305	3822
74	307	3787
75	309	3767
76	312	3743
77	316	3746
78	319	3728
79	322	3705
80	325	3688
81	327	3669
82	328	3633
83	336	3670
84	340	3664
85	342	3642
86	345	3620
87	347	3603
88	350	3586
89	353	3571
90	355	3549
91	357	3527
92	360	3512
93	362	3493
94	367	3505
95	370	3486
96	372	3464
97	374	3447
98	377	3434
99	385	3470
100	395	3516
101	399	3515
102	408	3557
103	410	3536
104	415	3537
105	418	3530
106	428	3575
107	430	3558
108	438	3587
109	441	3572
110	454	3640
111	456	3620
112	458	3599
113	460	3577
114	462	3561
115	465	3550
116	468	3534
117	470	3515
118	472	3497
119	474	3476
120	482	3507
121	485	3497
122	488	3479
123	497	3517
124	499	3498
125	501	3478
126	509	3503
127	513	3494
128	516	3487
129	518	3470
130	525	3488
131	528	3477
132	530	3460
133	532	3443
134	535	3430
135	539	3424
136	541	3409
137	543	3392
138	545	3377
139	547	3361
140	556	3387
141	557	3368
142	559	3351
143	560	3333
144	562	3317
